,"B0B92GJ9NZcheckmark, brain.png","B0B92GJ9NZlight bulb, brain.png",B083LSCTBGpattern.png,B07633JY7Mfireplace.png,B083LSCTBGAlexa logo.png,"B0B92GJ9NZlight bulb, checkmark.png","B07633JY7Mocean, lotus flower.png","B0BCDV134Theadphones, speech bubble.png",B0B6WQ16Z3speech bubble.png,"B0B92GJ9NZpencil, checkmark.png",B0B92GJ9NZgraph.png,B0B6WQ16Z3star.png,"B083LSCTBGvoice waveform, pattern.png",B0BCDV134Tspeech bubble.png,B0BCDV134Tgroup of people.png,"B0B6WQ16Z3child, light bulb.png","B083LSCTBGsmart home device, voice waveform.png","B083LSCTBGvoice waveform, geometric shape.png","B0BCDV134Tmusical note, headphones.png",B0BCDV134Tmusical note.png,"B0B6WQ16Z3child, star.png","B0B92GJ9NZpencil, brain.png","B0BCDV134Tmicrophone, musical note.png",B0BCDV134T.png,"B07633JY7Mraindrops, ocean.png",B07633JY7Mocean.png,"B0BCDV134Tmusical note, group of people.png","B0B6WQ16Z3star, light bulb.png","B07633JY7Mthunderstorm, fireplace.png","B07633JY7Mthunderstorm, ocean.png","B0B92GJ9NZlight bulb, pencil.png","B0BCDV134Tmusical note, speech bubble.png",B0B6WQ16Z3.png,B0B6WQ16Z3light bulb.png,B083LSCTBGsmart home device.png,"B083LSCTBGAlexa logo, pattern.png","B07633JY7Mthunderstorm, raindrops.png","B0B92GJ9NZgraph, brain.png",B07633JY7M.png,"B0B6WQ16Z3speech bubble, light bulb.png",B083LSCTBG.png,"B0B92GJ9NZpencil, graph.png","B0B6WQ16Z3book, speech bubble.png","B0B6WQ16Z3child, book.png","B083LSCTBGgeometric shape, pattern.png",B0BCDV134Theadphones.png,"B083LSCTBGgeometric shape, Alexa logo.png",B0B6WQ16Z3child.png,"B0BCDV134Tspeech bubble, group of people.png","B07633JY7Mocean, fireplace.png",B07633JY7Mthunderstorm.png,"B083LSCTBGvoice waveform, Alexa logo.png","B07633JY7Mraindrops, fireplace.png","B083LSCTBGsmart home device, pattern.png","B0B92GJ9NZcheckmark, graph.png","B0B92GJ9NZlight bulb, graph.png","B07633JY7Mfireplace, lotus flower.png","B0BCDV134Tmicrophone, headphones.png",B0B92GJ9NZpencil.png,"B0B6WQ16Z3book, light bulb.png","B07633JY7Mthunderstorm, lotus flower.png",B083LSCTBGgeometric shape.png,B07633JY7Mlotus flower.png,B0B92GJ9NZlight bulb.png,"B0BCDV134Tmicrophone, group of people.png",B0BCDV134Tmicrophone.png,"B07633JY7Mraindrops, lotus flower.png","B0BCDV134Tmicrophone, speech bubble.png","B083LSCTBGsmart home device, geometric shape.png","B0BCDV134Theadphones, group of people.png",B0B92GJ9NZ.png,"B083LSCTBGsmart home device, Alexa logo.png",B083LSCTBGvoice waveform.png,B0B92GJ9NZbrain.png,"B0B6WQ16Z3star, speech bubble.png","B0B6WQ16Z3star, book.png",B0B6WQ16Z3book.png,B0B92GJ9NZcheckmark.png,B07633JY7Mraindrops.png,"B0B6WQ16Z3child, speech bubble.png"
B0B6WQ16Z3,0.19399581849575043,0.20001177489757538,0.18500538170337677,0.17783664166927338,0.1953122913837433,0.20466572046279907,0.19001175463199615,0.22125843167304993,0.19550910592079163,0.2093096822500229,0.18433061242103577,0.21857282519340515,0.184815913438797,0.2154025137424469,0.18845438957214355,0.20189036428928375,0.18274395167827606,0.15603169798851013,0.19320601224899292,0.1924983412027359,0.19222858548164368,0.20986701548099518,0.19723975658416748,0.20625899732112885,0.21614760160446167,0.23016585409641266,0.20242896676063538,0.22252513468265533,0.19588075578212738,0.16935491561889648,0.19111685454845428,0.19769258797168732,0.22355015575885773,0.20817235112190247,0.18973833322525024,0.20073235034942627,0.20135873556137085,0.2134408950805664,0.1977594494819641,0.23010796308517456,0.2053937315940857,0.2056768834590912,0.21266186237335205,0.24039998650550842,0.18745878338813782,0.20157791674137115,0.19797199964523315,0.24607595801353455,0.19954806566238403,0.22665950655937195,0.21231019496917725,0.19763116538524628,0.23620814085006714,0.22617179155349731,0.18796584010124207,0.2036801129579544,0.16980627179145813,0.20627513527870178,0.21274453401565552,0.20541509985923767,0.20350494980812073,0.16789084672927856,0.19330576062202454,0.20089617371559143,0.1977481245994568,0.20042085647583008,0.21371956169605255,0.19955185055732727,0.1845114678144455,0.19860698282718658,0.16980819404125214,0.2130650281906128,0.1775408685207367,0.1947866678237915,0.21371616423130035,0.21668468415737152,0.18954525887966156,0.22638289630413055,0.20036539435386658,0.22820395231246948
B0B92GJ9NZ,0.24572467803955078,0.24132978916168213,0.24907895922660828,0.2033441811800003,0.23978790640830994,0.2537391185760498,0.23962116241455078,0.24972420930862427,0.23438721895217896,0.23874065279960632,0.2539744973182678,0.23827175796031952,0.2413644939661026,0.2613218426704407,0.22404983639717102,0.2529216706752777,0.23086455464363098,0.23279795050621033,0.24272216856479645,0.24533820152282715,0.24587693810462952,0.27134406566619873,0.2546220123767853,0.2300693690776825,0.24425697326660156,0.2364233434200287,0.23802921175956726,0.24586442112922668,0.2344299703836441,0.21567891538143158,0.24186410009860992,0.25544828176498413,0.20104224979877472,0.25239965319633484,0.23001131415367126,0.24170444905757904,0.23166178166866302,0.2375965267419815,0.23324261605739594,0.25718629360198975,0.24511107802391052,0.2507513463497162,0.2523082196712494,0.24908149242401123,0.23542532324790955,0.25828492641448975,0.24989891052246094,0.2726936936378479,0.24884697794914246,0.22085152566432953,0.25686392188072205,0.2648944854736328,0.2257641702890396,0.2562152147293091,0.25175344944000244,0.2475263923406601,0.20200280845165253,0.25816965103149414,0.22900985181331635,0.24441970884799957,0.23752222955226898,0.21932664513587952,0.2312307506799698,0.25989383459091187,0.2340068519115448,0.24791812896728516,0.2170034497976303,0.241226464509964,0.2401299774646759,0.24946829676628113,0.27895113825798035,0.2555544376373291,0.24328958988189697,0.25708383321762085,0.2615746855735779,0.24303211271762848,0.2463071644306183,0.2495601773262024,0.21977338194847107,0.2633533775806427
B0BCDV134T,0.19734808802604675,0.16873699426651,0.1780194640159607,0.1785123348236084,0.20603030920028687,0.190980464220047,0.17634370923042297,0.220530167222023,0.15914520621299744,0.17612680792808533,0.18867778778076172,0.1960904598236084,0.20488017797470093,0.20286139845848083,0.18108531832695007,0.17219045758247375,0.17279474437236786,0.19542083144187927,0.21761181950569153,0.23764768242835999,0.18825671076774597,0.1625940501689911,0.2204669713973999,0.24949587881565094,0.20432108640670776,0.20276492834091187,0.20507346093654633,0.18891340494155884,0.19599205255508423,0.16582974791526794,0.17040003836154938,0.19030988216400146,0.20921063423156738,0.18463288247585297,0.2445746213197708,0.19355517625808716,0.1858597695827484,0.19478604197502136,0.2159658968448639,0.19725926220417023,0.22520196437835693,0.186616450548172,0.17708002030849457,0.19393911957740784,0.20133866369724274,0.21346132457256317,0.1829557716846466,0.20009884238243103,0.1606614887714386,0.1792798638343811,0.19110596179962158,0.19608503580093384,0.1937224268913269,0.18888871371746063,0.18582899868488312,0.17494457960128784,0.16183480620384216,0.1994595229625702,0.19580012559890747,0.16560781002044678,0.17927047610282898,0.16466087102890015,0.16114071011543274,0.19053921103477478,0.19354945421218872,0.20603586733341217,0.19041948020458221,0.2027749866247177,0.1693313717842102,0.22226324677467346,0.1611061990261078,0.21466204524040222,0.18442541360855103,0.17014756798744202,0.20794248580932617,0.2073959857225418,0.17725247144699097,0.19602611660957336,0.1955435574054718,0.2103578746318817
B083LSCTBG,0.23807114362716675,0.2515232563018799,0.2319914996623993,0.25285741686820984,0.2628013491630554,0.26225781440734863,0.25526297092437744,0.24402379989624023,0.2559128701686859,0.23299705982208252,0.21750351786613464,0.21421349048614502,0.2422504425048828,0.2639365792274475,0.23035810887813568,0.2520594596862793,0.254288911819458,0.22951945662498474,0.24794253706932068,0.23354816436767578,0.24162474274635315,0.25354665517807007,0.25538671016693115,0.21115010976791382,0.2473209947347641,0.24191448092460632,0.244598850607872,0.23614206910133362,0.25579121708869934,0.2172849476337433,0.24993684887886047,0.254808634519577,0.1987789273262024,0.25442153215408325,0.2379525750875473,0.26659855246543884,0.22112593054771423,0.23986366391181946,0.22624485194683075,0.25425034761428833,0.21842476725578308,0.2542138993740082,0.25391656160354614,0.2456101030111313,0.23549169301986694,0.24194352328777313,0.24497172236442566,0.25225549936294556,0.26641950011253357,0.251487672328949,0.23954829573631287,0.2620406448841095,0.22729995846748352,0.26663708686828613,0.24476775527000427,0.24501177668571472,0.24443039298057556,0.25104111433029175,0.24297577142715454,0.2501935660839081,0.25796812772750854,0.20362600684165955,0.22732847929000854,0.25411614775657654,0.2411755472421646,0.25529053807258606,0.22257639467716217,0.24979320168495178,0.28227537870407104,0.2465512901544571,0.2071196734905243,0.26422229409217834,0.22562474012374878,0.22970104217529297,0.24158252775669098,0.22569547593593597,0.24049896001815796,0.2563130259513855,0.2090848684310913,0.25938087701797485
B07633JY7M,0.23572711646556854,0.2299131453037262,0.2163376361131668,0.24381422996520996,0.2509418725967407,0.239629864692688,0.2404930293560028,0.2642890512943268,0.23883312940597534,0.24051864445209503,0.23466767370700836,0.22508326172828674,0.2651585340499878,0.23945972323417664,0.21323059499263763,0.24034756422042847,0.24088947474956512,0.24528612196445465,0.25941282510757446,0.2622406780719757,0.24852149188518524,0.22890910506248474,0.26345741748809814,0.242265522480011,0.2898986339569092,0.24161396920681,0.2503383755683899,0.23005551099777222,0.2651253044605255,0.2740038335323334,0.23595894873142242,0.24392348527908325,0.19408486783504486,0.2345600426197052,0.24802684783935547,0.22481730580329895,0.3118898272514343,0.24894258379936218,0.3318428695201874,0.2457502782344818,0.2312663495540619,0.24303779006004333,0.23156686127185822,0.2403305470943451,0.22673305869102478,0.25382018089294434,0.22370921075344086,0.25062698125839233,0.23244133591651917,0.2586013674736023,0.29214468598365784,0.2426779568195343,0.2977781891822815,0.23250320553779602,0.252149760723114,0.22701634466648102,0.22072048485279083,0.2564046382904053,0.23792850971221924,0.2269279956817627,0.2792321741580963,0.1968029886484146,0.21838490664958954,0.23192469775676727,0.24290724098682404,0.26672956347465515,0.2641986608505249,0.2510928213596344,0.23187509179115295,0.2644381523132324,0.19876520335674286,0.2582462430000305,0.24641302227973938,0.2206466645002365,0.25753235816955566,0.23122838139533997,0.22237734496593475,0.2589140832424164,0.28256359696388245,0.25512972474098206
